"","time","salinity.PSU","SiteID","yearnormal","yearcircle"
"1",-0.0955641854634232,35.4657322487299,"100",1.40443581453658,8.82433047477301
"2",-0.0470209537095515,35.4610193136081,"100",1.45297904629045,9.12933659529195
"3",-0.000428877096078167,35.3594084323835,"100",1.49957112290392,9.42208324650071
"4",0.0501597685006265,36.4224580784421,"100",0.550159768500627,3.45675577404446
"5",0.100550470822218,35.4466919908381,"100",0.600550470822218,3.77336989448995
"6",0.149291645851203,37.4807947893789,"100",0.649291645851203,4.07961972928673
"7",0.203518677361887,36.0192193494264,"100",0.703518677361887,4.42033821692663
"8",0.253324975728384,29.0240925243423,"100",0.753324975728384,4.733280419028
"9",0.350760196435136,32.6068658038853,"100",0.850760196435136,5.34548396617446
"10",0.403026646935178,30.9513059543222,"100",0.903026646935178,5.67388376001476
"11",0.451664137391484,31.9174576542779,"100",0.951664137391484,5.97948212542791
"12",0.501856896437963,28.9028758330113,"100",1.00185689643796,6.29485253159555
"13",0.550305869489401,27.9272982628121,"100",1.0503058694894,6.59926640722028
"14",0.600951070307566,29.5728666899171,"100",1.10095107030757,6.91747958888014
"15",0.651615122866219,31.4126080440377,"100",1.15161512286622,7.23581121951884
"16",0.702043528668784,30.8251878104646,"100",1.20204352866878,7.55266223792201
"17",0.126315789473684,29.7755357509856,"112",0.126315789473684,0.793665512485842
"18",0.207017543859649,27.9743661603423,"112",0.207017543859649,1.30072958990735
"19",0.291228070175439,25.2781047400183,"112",0.291228070175439,1.82983993156458
"20",0.375438596491228,27.9492554602694,"112",0.375438596491228,2.35895027322181
"21",0.456140350877193,30.6209293201054,"112",0.456140350877193,2.86601435064332
"22",0.540350877192982,25.4646040020178,"112",0.540350877192982,3.39512469230055
"23",0.624561403508772,22.3210582366459,"112",0.624561403508772,3.92423503395778
"24",0.708771929824561,24.0976402668012,"112",0.708771929824561,4.453345375615
"25",0.792982456140351,29.4524970573398,"112",0.792982456140351,4.98245571727223
"26",0.87719298245614,30.7817947424472,"112",0.87719298245614,5.51156605892946
"27",0.957894736842105,31.2170468770435,"112",0.957894736842105,6.01863013635097
"28",1.04561403508772,31.6512527324702,"112",0.045614035087719,0.28660143506433
"29",0.00458715596330278,33.1472684085511,"117",0.00458715596330278,0.0288219509503653
"30",0.0963302752293583,35.0475059382423,"117",0.0963302752293583,0.60526096995767
"31",0.181957186544343,35.0475059382423,"117",0.181957186544343,1.14327072103115
"32",0.267584097859329,31.2470308788599,"117",0.267584097859329,1.68128047210464
"33",0.45718654434251,33.1472684085511,"117",0.45718654434251,2.87258777805307
"34",0.548929663608566,33.1472684085511,"117",0.548929663608566,3.44902679706037
"35",0.646788990825692,34.0973871733967,"117",0.646788990825692,4.0638950840015
"36",0.726299694189606,34.0973871733967,"117",0.726299694189606,4.56347556714116
"37",0.824159021406732,32.1971496437055,"117",0.824159021406732,5.17834385408229
"38",0.915902140672788,32.0071258907363,"117",0.915902140672788,5.75478287308959
"39",1.00764525993884,32.9572446555819,"117",0.00764525993884346,0.04803658491731
"40",1.09327217125383,25.166270783848,"117",0.0932721712538287,0.586046335990795
"41",1.19113149847095,27.2565320665083,"117",0.191131498470954,1.20091462293192
"42",1.28287461773701,28.2066508313539,"117",0.28287461773701,1.77735364193922
"43",1.368501529052,26.3064133016627,"117",0.368501529051995,2.31536339301271
"44",1.46024464831805,28.0166270783848,"117",0.460244648318051,2.89180241202001
"45",4,28.78353641,"1",0,0
"46",5,28.81969791,"1",0,0
"47",6,35.10550845,"1",0,0
"48",7,33.39019597,"1",0,0
"49",8,34.42472907,"1",0,0
"50",9,24.20203268,"1",0,0
"51",10,23.99764164,"1",0,0
"52",11,25.28216071,"1",0,0
"53",12,22.56847661,"1",0,0
"54",0.295660036166365,33.4877126654064,"274",0.295660036166365,1.85768679516069
"55",0.371609403254973,32.4669187145558,"274",0.371609403254973,2.33489074254142
"56",0.458408679927667,30.992438563327,"274",0.458408679927667,2.88026668240511
"57",0.541591320072333,32.8071833648393,"274",0.541591320072333,3.40291862477448
"58",0.624773960216998,32.9962192816635,"274",0.624773960216998,3.92557056714385
"59",0.707956600361664,31.3705103969754,"274",0.707956600361664,4.44822250951321
"60",0.791139240506329,33.4877126654064,"274",0.791139240506329,4.97087445188258
"61",0.877938517179023,34.0926275992439,"274",0.877938517179023,5.51625039174627
"62",0.961121157323689,33.7901701323251,"274",0.961121157323689,6.03890233411564
"63",1.04068716094033,33.4877126654064,"274",0.0406871609403257,0.255644971811105
"64",1.12748643761302,32.4669187145558,"274",0.12748643761302,0.801020911674793
"65",1.20705244122966,30.9546313799622,"274",0.207052441229656,1.30094885654984
"66",0.250021671982004,29.5814522527274,"275",0.750021671982004,4.71252514946359
"67",0.268691514164349,30.2481057964951,"275",0.768691514164349,4.82983122755107
"68",0.285098345173078,30.6411061844902,"275",0.785098345173078,4.93291838708249
"69",0.300373670594997,30.8576956790246,"275",0.800373670594997,5.02889608733588
"70",0.319467827372396,31.0437276481313,"275",0.819467827372396,5.14886821265262
"71",0.331850098737134,31.0116863583455,"275",0.831850098737134,5.22666831816105
"72",0.366566747423314,31.0654627908896,"275",0.866566747423314,5.44479945510057
"73",0.378023241489754,31.063477754789,"275",0.878023241489754,5.51678273029062
"74",0.397117398267153,30.8409331519527,"275",0.897117398267153,5.63675485560735
"75",0.412392723689073,30.4076438831006,"275",0.912392723689073,5.73273255586074
"76",0.423849217755512,30.6170651917161,"275",0.923849217755512,5.80471583105079
"77",0.442943374532911,30.339711536546,"275",0.942943374532911,5.92468795636753
